文本,宏观集群密度,帖子平均情绪值,宏观集群信任度值,群体情绪指数1,时间
宏观跟踪：投资宏观经济深圳发布优化住房限购政策：本地户籍取消落户年限以及缴纳个人所得税、社会保险年限要求财联社月日电，深圳市住房和建设局发布关于优化住房限购政策的通知，一、本市户籍居民家庭（含部分家庭成员为本市户籍居民的家庭）限购套住房，本市户籍成年单身人士（含离异）限购套住房；取消落户年限以及缴纳个人所得税、社会保险年限要求。二、非本市户籍居民家庭及成年单身人士（含离异）能提供购房之日前年在本市连续缴纳个人所得税或社会保险证明的，限购套住房。本通知自印发之日起执行。来自财联社新政简单解读：深户：一入深户即可在深圳买房之前政策入深户年交社保年非深户：交年社保可在深圳买房之前政策交年社保此前市场预期为放开部分非核心区域的限购，本次新政超预期放松，基本回到年落户就能买房的时期，基本等于全面放开，因为落户深圳的门槛很低。;0.0058224163027656;0.99015476216785;0.8605247108954047;0.010529786555155005,,,,,
转：深圳楼市连夜出新政策，深圳楼市年后要逆风翻盘了。深户就可以买房了，不用看社保非深户三年社保即可买房这样大大释放了购房需求，深圳楼市新策详解非深户单身家庭套、社保年改年深户单身套、不看社保和落户年限深户家庭套、不看用看社保和落户年限觉得这个解读是对的吗？;0.0058224163027656;0.6552713930878156;0.8605247108954047;0.006968474190647898,,,,,
深圳优化调整购房政策深圳放松限购，落户即可买房；社保或个税年改年。成都春节后会迎来楼市放松吗？楼市调控楼市松绑;0.0058224163027656;0.5711269112299835;0.8605247108954047;0.006073640910426915,,,,,
北京通州限购优化月日下午，北京市通州区松绑限购政策，四类家庭，可在通州区购买套商品住房。一是在京未拥有住房的北京户籍居民家庭；二是在京已拥有套住房的通州区户籍居民家庭；三是在京已拥有套住房，与在通州区注册或经营的企业、疏解搬迁至通州区的党政机关、企事业单位存在劳动关系的北京户籍居民家庭；四是在京未拥有住房，与在通州区注册或经营的企业、疏解搬迁至通州区的企事业单位存在劳动关系的非京籍居民家庭。调整后，在通州区落户或就业的家庭，如需购买通州区商品住房，符合本市限购条件即可，取消了在通州落户或纳税、社保满三年的限制，更有利于促进疏解单位、企业从业人员在城市副中心安居置业，实现职住平衡。和之前的“双限”政策相比，第一类家庭无变化；第二类开庭取消了须在通州区落户、社保或社保年的限制；第三类家庭，京籍非通州户，只要劳动关系在通州，就可以再购买一套住房；第四类家庭，非京籍无房家庭不再“双限”，只要劳动关系在通州，北京社保或个税满年，就可以在通州区买房。;0.0043668122270742;-0.2451959738939879;0.8605247108954047;-0.0019556497892569166,,,,,
最新北京通州限购政策调整北京市住建委今天发布通知，在京具备购房资格的类家庭，可在通州区购买套商品住房。新政策变化最大的就是在通州区落户和就业的家庭，只要符合北京整体限购政策即可，取消了落户、社保或纳税需满年的要求。通州区落户或就业家庭买房不再双限（总台央视记者王丰）;0.0800582241630276;0.5169160279354253;0.7314514816448291;0.06424825873380308,,,,,
北京调整通州楼市限购政策据媒体报道：新政策变化最大的就是在通州区落户和就业的家庭，只要是符合北京整体限购政策即可，取消了落户、社保或纳税需满年的要求。这个是不是可以这么理解了？张三想在北京通州买房，只要有钱就可以了。对吗？疑问：那么买房了是否就可以通州落户呢？可以正常参加通州高考吗？补充：刚才看到的媒体报道是不完整的，在话题置顶的微博里看到了这图二张图片，解答了疑问。;0.2314410480349345;0.0171756429720294;0.7946177260706561;0.006704424848860909,,,,,
北京通州落户或就业家庭不再双限北京通州楼市限购政策优化你会在通州买房吗北京市住建委和通州区政府月日发布，即日起，在京具备购房资格的四类家庭，可以在通州区购买一套商品住房。新政策变化最大的就是在通州区落户和就业的家庭，只要符合北京整体限购政策即可，取消了落户、社保或纳税需满年的要求。（北京日报）你计划在北京通州买房吗？新浪财经的微博投票;0.9912663755458516;0.5994527178124724;0.7928751464541154;1.0,,,,,
最新北京通州限购政策调整北京市住建委今天发布通知，在京具备购房资格的类家庭，可在通州区购买套商品住房。新政策变化最大的就是在通州区落户和就业的家庭，只要符合北京整体限购政策即可，取消了落户、社保或纳税需满年的要求。通州区落户或就业家庭买房不再双限;0.0014556040756914;-0.7023086026109036;0.8605247108954047;-0.00186717267943826,,,,,
上海苏州同日优化住房限购政策上海优化住房限购政策经观上海单身也能买房了，苏州可以随便买月日，上海印发《关于优化本市住房限购政策的通知》，宣布优化住房限购政策，明确非沪籍居民缴满年社保，可在外环以外区域（崇明区除外）限购套住房。此前，上海要求非上海户籍单身人士购房，需满足“年社保已婚”条件。同日上午，苏州也对新房、二手房全面取消限购。苏州市房地产市场和交易管理中心一位工作人员告诉经济观察网，从月日起，苏州不再进行购房资格的审核。“无论是本地、外地人，名下有多少套住房，都可以在苏州买房。”实际上，早在年月，金山区便打响了上海放开单身限购的“第一枪”，到了年月日，上海青浦、奉贤两区也跟进人才购房政策，非沪籍单身人才交满年社保即可购房。经济观察报视频的微博视频;0.0043668122270742;-0.1754414387841749;0.8605247108954047;-0.0013992970901453069,,,,,
感觉到今年年底，京沪市内区，单身年社保可买房，其余区域，单身年社保即可。然后到明年，全市区单身社保年可买，然后买房送户口广州：优化调整限购政策放开平方米户型限购广州市人民政府办公厅发布关于进一步优化我市房地产市场平稳健康发展政策措施的通知。其中提出，优化调整限购政策。在限购区域范围内，购买建筑面积平方米以上（不含平方米）住房，不纳入限购范围。在限购区域范围内，居民家庭将自有住房用作租赁住房并办理房屋租赁登记备案手续的，或者在我市存量房交易系统取得房源信息编码并挂牌计划出售的，购买住房时相应核减家庭住房套数。（广州市政府）;0.0465793304221251;-0.4877081775186094;0.5691425822590288;-0.02744253620116578,,,,,
上海终于彻底不装了松绑，松绑，再松绑在严峻的现实面前，“贵族”上海，终于敞开怀抱欢迎外地人在上海买房了。月日，上海青浦、奉贤两个区同时官宣：凡在沪缴纳职工社会保险或个人所得税满年及以上、且在本市无住房，与青浦区、奉贤区用人单位签订年及以上劳动（聘用）合同且工作满年的非沪籍人才，可以在上海购买住房。注意，这里的非沪籍人才的界定，其要求是相对低的，不像之前的国内应届研究生或全球百强名校留学生，而是“具有大学本科及以上学历或学士及以上学位”等即可。上海松绑尺度如此之大，这在一年前是不可想象的。要知道，这次青浦、奉贤的超级松绑（所谓上海外地人才满年社保即可购房），已经是近期上海楼市新政的第二次紧急推进。上一次，月下旬，上海金山区突然官宣，金山外地人才社保满年可购房。短短三个月，上海大幅调降购房社保年限的试点，就从一个区扩大到三个区，再加上此前一直执行非沪籍年可购房的浦东偏远地带的临港新片区，上海非主城区购房的社保年限下调，事实上已经覆盖了一大半的区域。“贵族”上海终于不装了，终于褪下贵族的新装，这是什么节奏？这是上海楼市超级承压的节奏。这是中国城市博弈极限内卷的节奏。要知道，上海执行外地人满年社保方可购房的政策，从年上半年到现在，事实已经近年，但是，现在，上海多个非主城区均将外地人“年社保要求”紧急下调到“年社保要求”。更重要的，这事实松绑的，不仅仅是社保年限的“从年调低为年”，更是所谓人才界定的大幅放宽在特定试点区域，人才界定已经从之前的高级，调降为现在的事实中级。当下上海楼市局部区域的大幅松绑，这为下一步上海楼市全域的大幅松绑，事实已经做了一个铺垫。如果不出意外，如果上海楼市接下来继续承压，那么，可以预料，最迟年，上海楼市超大概率将会迎来全域范围的大幅松绑，从社保交缴年限的下调到人才要求的下调等等。当下上海楼市局部区域的大幅松绑，这其实是上海楼市超级承压的一个折射。刚刚过去的年，全国楼市整体承压，上海楼市也不例外，从住宅到商业和写字楼，从高端楼盘到中低楼盘，从上海核心主城区到类似青浦、奉贤、金山等外围区域，整个上海楼市都事实迎来了过去二三十年从未遭遇的楼市超级降温。尤其是住宅地产，上海所谓万以上的豪宅，大跌幅度的比比皆是，传统老破小的跌幅局部区域更甚，许多年较高位入手贷款购房的，首付款突然被跌没的、有的甚至因偿还不了贷款而遭遇法拍的，其数量也是呈几何级上升。在楼市如此惨淡的背景下，上海不得不紧急祭出大招，不得不先行启动局部外围区域楼市的大幅松绑，以期维稳楼市，以期维稳地方财政。当下上海楼市局部区域的大幅松绑，这更是中国城市博弈极限内卷的节奏。上海楼市遭遇超级承压，上海可以出招通过降低外地人购房门槛，从而起到消解上海楼市压力、以及吸纳外地人口的作用。但是，广大二三线城市、以及能量更低的城市呢，目前几乎已经无招可用，维稳政策空间几乎已经没有了能降低的门槛现在几乎已经全部降低了，当下遵循的，几乎已经是外地人零门槛购房、零门槛落户的，至多也就是补缴几个月社保而已（注意是“至多补缴”）。而上海现在还仅仅是局部非主城区降低门槛而已，接下来，还有主城区的降低门槛呢，还有主城区针对人才的界定呢，未来几年，上海维稳房价、维稳经济的政策空间，事实还有很多很多。这就一个残酷的现实这是一个存量博弈的时代，产业如此，楼市和城市也是如此。在前天的直播中，我曾经讲过，一线头部城市的上海和北京，即便未来房价还有一定的下行空间，但是，其整体的下行空间，一定会比全国其他城市小。上海和北京，即便未来房价还要下跌震荡一段时期，但是，其整体探底平稳的时间点，一定会比全国其他城市来得更早一些。比如，假设上海北京房价还有的下行空间，那么，全国其他城市房价的平均下行空间至少要有。比如，假设上海北京房价还要震荡下跌年，那么，全国其他城市房价的平均震荡下跌至少要有年。;1.0;-0.1298075679192741;1.0;-0.2755179510142198,,,,,
上海楼市上海楼市再出大招：青浦、奉贤两区非沪籍人口社保年即可买房，业内称：预计其他一线城市也会跟进。;0.0029112081513828;0.9572164481951422;0.8605247108954047;0.005089752264843324,,,,,
东方财富股票非沪籍单身也能买房了上海青浦、奉贤限购“定向松绑”非沪籍单身人士可以在上海买房的范围再扩大。月日，上海青浦、奉贤两区先后发布人才购房，在规定区域内，符合要求的非沪籍单身人才，社保交满年即可购房。两区的新政均放松了婚后方可买套房的限制，并将社保缴纳年限从年降低至年。上海青浦、奉贤新城区购房新政：非户籍人口社保三年可购房来自东方财富网;0.0014556040756914;0.9998883791306556;0.8605247108954047;0.0026583246411334507,,,,,
非沪籍单身也能买房了上海青浦、奉贤限购“定向松绑”上海青浦人才新城区购房新政非沪籍单身人士可以在上海买房的范围再扩大。月日，上海青浦、奉贤两区先后发布人才购房，在规定区域内，符合要求的非沪籍单身人才，社保交满年即可购房。两区的新政均放松了婚后方可买套房的限制，并将社保缴纳年限从年降低至年。盛松成称本轮房地产调控是必要的具体来看，青浦区与奉贤区均要求，在沪缴纳职工社会保险或个人所得税满年及以上、且在上海市无住房，与区域内用人单位签订年及以上劳动（聘用）合同且工作满年的非沪籍人才，同时用人单位和个人符合相关条件，可在青浦新城、奉贤新城区域范围内购买套住房，同时购房资格由居民家庭调整为个人。其中，青浦区购房范围为青浦新城东至老通波塘，南至沪青平公路（新），西至青浦大道，北至沪常高速，总面积平方公里。此外，根据城镇发展实际和产业升级需求，该购房区域范围可适当优化。奉贤区的人才购房区域总面积约平方公里，范围设定：北至大叶公路，东至浦星公路，南至上海绕城高速，西至沪杭公路南竹港；北至芝泽路，东至沪杭公路改线，南至八字桥路附近，西至地灵路。上海中原地产资深市场分析师卢文曦向第一财经记者表示，青浦和奉贤的购房新政，和临港最早的人才购房政策较为相似，对吸引人才进入重点发展的新城具有积极意义，同时对区域内楼市交易注入新的动力。卢文曦称，青浦和奉贤的两个新城本身就是楼市交易重点关注区域，在年初释放利好政策也显示出地方政府对产业、对楼市等多方面呵护，即便短期之内楼市不会有太直接的反应，预计也会在年后的小阳春兑现利好。非沪籍单身也能买房了上海青浦、奉贤限购“定向松绑”;0.0902474526928675;0.1310572807401784;0.5041569271799984;0.012656444846594816,,,,,
上海突发楼市新政：青浦、奉贤两区取消单身限购，社保年即可买房月日上午，上海部分区域突发购房新政，对原先的购房条件进行调整。据青浦区、奉贤区政府新闻办公室官方信息平台披露，凡在上海缴纳职工社会保险或个人所得税满年及以上、且在本市无住房，与区域内的用人单位签订年及以上劳动（聘用）合同且工作满年的非沪籍人才，并符合单位条件之一、个人条件之一的，可购买套住房，购房资格由居民家庭调整为个人。青浦区出台的人才新城区域购房政策显示，购房区域范围为青浦新城，东至老通波塘，南至沪青平公路（新），西至青浦大道，北至沪常高速，总面积平方公里。根据城镇发展实际和产业升级需求，上述购房区域范围可适当优化。在单位条件方面，若想符合上述条件购房，需要购房者的单位为青浦区产业发展方向，且工商注册地和税收户管地均在青浦区的企业，同时，是青浦区重点支持引进或为青浦区经济社会发展做出突出贡献的其他单位。个人条件方面，需具有大学本科及以上学历或学士及以上学位；具有中级及以上职称或职业资格；取得国家三级职业资格（高级工）及以上证书的高技能人才，工种与证书相符，且符合单位主导产业或行业（单位提供证明）；最近年内累计个月在本市缴纳职工社会保险基数大于等于本市上年度职工社会平均工资倍；入选“青峰”人才计划、市级及以上人才计划或具有相当层次的人才；青浦区经济社会发展紧缺急需或为青浦区经济社会发展做出特殊贡献的其他人才。需由用人单位提出、行业主管部门推荐并经区委人才办审核认定。青浦区委人才办方面表示，下一步，将进一步发挥多重战略叠加优势，通过华为、美的等龙头企业的带动作用，不断优化人才安居政策，提升人才吸引力，以新城为出发点加大对周边区域的辐射，把青浦打造成人才近悦远来的“幸福温暖家”。奉贤新城此次的人才购房新政实施范围约平方米公里。奉贤区新城区域人才购房实施细则显示，人才购房准入条件与青浦区相差不多，去年以来，市场对于上海五个新城（即青浦新城、奉贤新城、南汇新城、嘉定新城、松江新城）放松限购的呼声较高。目前，临港新片区（南汇新城）、奉贤新城、青浦新城以及金山区已相继放宽购房条件。截至发稿，嘉定和松江暂未公布购房新政。易居研究院研究总监严跃进认为，青浦与奉贤两个区域购房政策调整，跟此前金山政策的调整方向是一样的，针对人才适当放宽购房条件，认定条件较为宽松，将很大程度让更多人享受购房新政。严跃进表示，上述区域将是上海年新房供应较多的区域，市场关注度高。此次调整体现了上海落实差异化购房政策调整的导向，也充分体现地方政府对于人才的重视，反过来有助于区域实现“职住平衡”，提振购房需求。每日经济新闻;0.0058224163027656;0.0;0.8810133944881525;0.0,,,,,
突发上海奉贤、青浦区最新发布社保满年，无需以家庭为单位，单身即可买房。虽然取消上海郊区限购，对整个楼市行情不痛不痒，但也看得出政策导向趋势明显在变。甲辰年，是破土重生年，也是离运首年，楼市仍然是经济中流砥柱。只不过当任何商品迭代足够成熟后，必然会产生价格分化，有的是永远也坚挺不起来的焦土，有的却成为不断增高的珠峰。;0.0145560407569141;0.874478481500264;0.8673542720929873;0.02343358848149971,,,,,
期盼已久的降息，终于来了今天早上，月的贷款市场报价利率（）发布了，年期维持的利率不变，年期降息个基点至。无论是降息方式，还是力度，都让市场略感意外。首先，这是一次在（中期借贷便利）维持利率不变的情况下的降息，非常罕见。当前最重要的政策利率是年期，一展开;0.009685230024213;0.9032151656373808;0.5825427052704981;0.008108785849538929,,,,,
楼市房贷利率换锚以来最大幅降息落地大部分城市首套房贷利率进入字头，楼市“小阳春”稳了？年月日，中国人民银行授权全国银行间同业拆借中心公布最新贷款市场报价利率（），年期保持不变，年期以上下调个基点，由调整至。为何非对称降息？中指研展开;0.0012106537530266;0.9754861249694886;0.5648898960198769;0.0010615287424919036,,,,,
期盼已久的降息，终于来了今天早上，月的贷款市场报价利率（）发布了，年期维持的利率不变，年期降息个基点至。无论是降息方式，还是力度，都让市场略感意外。首先，这是一次在（中期借贷便利）维持利率不变的情况下的降息，非常罕见。当前最重要的政策利率是年期，一般在每月日发布，本月由于春节因素，是月日操作的，维持利率不变。为什么利率没有降低，而利率降低了？主要原因是本月降准落地，资金充裕，市场利率走低，给降息提供了空间。其次，这是一次“不对称降息”，年期没有降息，只给年期降息了。年期是实体经济贷款参考的基准利率；而年期，主要是给房贷定价参考的基准利率。所以，本次降息相当于给房地产行业“吃小灶”，只把利好给这个行业。第三，这是一次大力度的降息，幅度达到了个基点，相当于近年来常见降息幅度的倍左右。早些年，央行每次降息一般是个基点（再早是个基点）；采用方式后，尤其是最近两年降息幅度往往在个基点左右，甚至只有个基点。我把它比喻为“一个馒头掰几瓣”。刚刚官宣的降息，一下子降低了个基点，力度比较大。这也符合我之前的建议和预期。为什么此次降息只降低年期的，把利好主要给房地产行业？主要原因是进入年以后楼市继续降温，月成交数据非常难看。正是在这种情况下，北京、上海、深圳等城市出台了新一轮力度更大的楼市新政。春节期间，一线城市和个别二线城市成交有所回暖，但全国成交数据仍然在下滑。在这种时候，加大降息力度，给楼市送上更多温暖非常有必要。最近正在各地建立的“城市房地产融资协调机制”（项目白名单），力度非常大。目前仅六大国有银行对接的楼盘项目，就超过了万个，至少可以发放万亿以上的贷款。而年新增的开发贷，也不过多亿。当前楼市的主要问题，是需求端乏力，大家因为收入降低、收入不稳定而不敢、不愿买房。所以，未来政策的发力点应该在需求端下更大功夫。年期降息个基点，对需求端就是不错的利好。假设一个购房者贷款万元，按照年等额本息计算，如果之前买房利率是（基本上所有的城市，都允许在基准利率基础上下浮个基点），现在降低到（仍然是基准利率下浮个基点），月供可以减少元，总利息可以减少万元。对于已经在供楼的购房者来说，本次降息带来的利好，要到“下一定价日”之后才能享受。如果你选的“下一定价日”是月日，那么需要到年月日之后，才能享受到这次降息。目前公积金贷款利率是首套房（年期以上），二套房（年期以上）。随着不断降息，未来公积金贷款利率也可能会降低。本次降息官宣后，上证指数反而翻绿（到上午点半）。显示出当前市场心态仍然偏弱，说明有一些资金有“借利好兑现出货”的迹象。进入年，宏观政策有明显的“轰油门”的迹象。比如月日的降准，幅度达到了个百分点，是此前降准力度的两倍；今天的降息，也是此前降息力度的倍。这跟股市不断下跌，楼市迟迟不能回暖，有密切的关系。希望宏观政策继续发力，包括楼市的松绑力度还要加码。北京、上海、深圳要尽早取消非核心城区的限购，广州和其他城市要全面取消限购、限价、限贷等。股市上护盘的国家队，也要给予无限量流动性支持，彻底打赢这场人民币资产的保卫战。;0.009685230024213;-0.3793518852462115;0.4406341145624117;-0.002576067307881062,,,,,
钟正生：四问“非对称”降息作者：钟正生、常艺馨（钟正生系中国首席经济学家论坛理事、平安证券首席经济学家）事项：年月日，央行公布的年期报价维持不变，年期以上下调。、央行为何此时降息？）地产销售开年弱势。今年初至月日，我们统计的个样本城市新房销售面积展开;0.0060532687651331;-0.4152077176724985;0.5766584355202911;-0.0023062210173834577,,,,,
