label;一级评论;真实二级评论数;真实点赞数;边数;最大边数;集群密度
193;第五点一看就是错的啊 为什么看空房市的人越多 就是要买房的人越多？这是啥逻辑？;1;1;2;55119;3.6285128540067854e-05
270;还有余地不过现在还不到时候;1;0;1;55119;1.8142564270033927e-05
272;稳(song)得一批[doge][求饶];1;0;1;55119;1.8142564270033927e-05
274;[二哈];1;0;1;55119;1.8142564270033927e-05
299;要赶农民进城很简单，镇以下的学校统统撤掉，农民自然会跑城里为开发商接盘。[笑cry][笑cry][笑cry];5;15;20;55119;0.00036285128540067854
305;都去县城落户，那老家稻田怎么搞呢，城市失业还能老家种田不愁吃喝，迁出去了未来重新划分田土就没得了吧;4;7;11;55119;0.0001995682069703732
327;[允悲]我还想要一个农村户口 想要一个宅基地 几块地;1;5;6;55119;0.00010885538562020356
364;你买了没;2;1;3;55119;5.442769281010178e-05
367;进城，何以立足？;2;0;2;55119;3.6285128540067854e-05
370;说到底就是惦记农民的土地。;1;0;1;55119;1.8142564270033927e-05
372;然后，供个物业叫爹[允悲];1;0;1;55119;1.8142564270033927e-05
374;在农村，虽然一个月100来块钱退休金，但是消费低，很多东西可以自己种点，真要去了城里，啥都得要钱了。;1;1;2;55119;3.6285128540067854e-05
376;博主平常发的微博都挺可人的，一涉及到政经就傻里吧唧的;1;0;1;55119;1.8142564270033927e-05
396;想回村怎么办？;2;1;3;55119;5.442769281010178e-05
414;房产界欢乐喜剧人大哥2023年就销声匿迹了;2;1;3;55119;5.442769281010178e-05
417;暴跌一触即发[doge];1;3;4;55119;7.257025708013571e-05
419;挂牌量又下来了;1;0;1;55119;1.8142564270033927e-05
421;持关[doge];1;0;1;55119;1.8142564270033927e-05
423;82/14 http://t.cn/A6KeYP9N;1;1;2;55119;3.6285128540067854e-05
425;#打卡，围观，躺平，住二环老破小##撸猫，聊球，踩盘，看白话二手房#  某区卖房:我们这未来有rdf！！！丰台卖房:我们未来这有个学校。[doge][吃瓜];1;1;2;55119;3.6285128540067854e-05
437;取消二套吧[泪];2;2;4;55119;7.257025708013571e-05
440;三个月一提和租房1500限额还在吗;3;0;3;55119;5.442769281010178e-05
444;房租能涨点儿。提高点租售比。;1;0;1;55119;1.8142564270033927e-05
446;国管之前可以按月提还房贷不;2;0;2;55119;3.6285128540067854e-05
449;小白，今年除了深圳还有其他地方要落地房产税吗？;1;0;1;55119;1.8142564270033927e-05
455;有公积金的需要租这种房子？;2;0;2;55119;3.6285128540067854e-05
458;北京公租房的标准十几年不变，这十来年北京gdp增长了多少，人均增长了gdp多少。。。我就呵呵了！;1;11;12;55119;0.00021771077124040712
476;烂尾之都;1;4;5;55119;9.071282135016963e-05
488;能不能直接规定不准卖期房，只准卖现房呢？我都快被恒大气死了[允悲];3;4;7;55119;0.0001269979498902375
500;谁告诉你的测量要三个月。一个周的事情让个搞成三个月。而且你连最基本的竣工验收步骤都没搞清楚，很多验收都是过程中就开始验收了，测量属于分户验收，室内施工差不多的时候就能验收。哪怕是公区没施工;3;3;6;55119;0.00010885538562020356
507;交房交才能卖，要不然很难杜绝被割韭菜。话说回来，小白买二手都会被坑。;1;1;2;55119;3.6285128540067854e-05
527;政府常常扮演无赖角色，维权几无可能！;1;7;8;55119;0.00014514051416027142
549;好消息[鼓掌];10;6;16;55119;0.00029028102832054283
560;好;9;3;12;55119;0.00021771077124040712
570;涨涨涨[允悲][允悲][允悲];9;2;11;55119;0.0001995682069703732
580;好;9;1;10;55119;0.00018142564270033927
590;👏好;9;1;10;55119;0.00018142564270033927
600;[哈哈]每天都看消息，昨天美股新能源涨了;9;1;10;55119;0.00018142564270033927
610;今天行情一直往上[打call];8;0;8;55119;0.00014514051416027142
619;乔妹早呀[太开心][太开心];8;0;8;55119;0.00014514051416027142
628;我要发财;8;0;8;55119;0.00014514051416027142
637;好样的 利好！！[doge][doge][doge];8;0;8;55119;0.00014514051416027142
706;看来今天数字经济要来一波集体涨停潮了，大面积套人开始。;1;0;1;55119;1.8142564270033927e-05
773;现在明明就是都不敢消费;1;0;1;55119;1.8142564270033927e-05
779;[熊猫];1;0;1;55119;1.8142564270033927e-05
798;还钱！无良机构！还钱！！！！！！;8;0;8;55119;0.00014514051416027142
813;已阅[挤眼];1;1;2;55119;3.6285128540067854e-05
815;操心的太多了吧哥;1;0;1;55119;1.8142564270033927e-05
817;油价又要涨，宝宝不开心;1;0;1;55119;1.8142564270033927e-05
823;烂尾之都;1;4;5;55119;9.071282135016963e-05
837;坐标郑州，已经延期半年了，预计还要延期半年。而且政府的纾困资金就是个笑话，开发商想要2亿的纾困资金，前提是得拿3亿的东西是抵押，哪个开发商愿意贷这赔本的纾困资金，都是扯淡;5;5;10;55119;0.00018142564270033927
871;除了降价一切花哨操作都是想方设法薅老百姓羊毛;1;0;1;55119;1.8142564270033927e-05
888;因为房地产能促进经济快速增长;2;4;6;55119;0.00010885538562020356
898;包括利息加点？;2;0;2;55119;3.6285128540067854e-05
908;房住不炒也要烂尾？;6;13;19;55119;0.0003447087211306446
927;就说苏州首套利率什么时候降;1;0;1;55119;1.8142564270033927e-05
933;贺总，黄金山水郡六期的高层可以入手吗？价格和房龄感觉都还可以，南边是水库和山，比财富中心什么的便宜不少，不知道未来能不能涨;1;0;1;55119;1.8142564270033927e-05
939;东莞这趋势没止住啊？，疫情之前就不行了;1;0;1;55119;1.8142564270033927e-05
941;我老婆在老家有一条还清的贷款记录，导致我在深圳买房要五成首付[摊手];1;0;1;55119;1.8142564270033927e-05
943;深圳有刚需？[doge];1;0;1;55119;1.8142564270033927e-05
959;回不回来得看老百姓口袋里的钞票。老百姓有钱。就业没有问题。谁不想住宽敞明亮一点。[嘻嘻][嘻嘻][嘻嘻];2;1;3;55119;5.442769281010178e-05
962;多盖房子，多贷款，卖给百姓，百姓贷款，贷款风险从公司转嫁给个人。消费水平又给拉低了。忙活半天意义在哪里。;1;0;1;55119;1.8142564270033927e-05
974;我一个退休老人都不敢乱花钱了，就怕孩子的房贷还不上，好尽可能帮一下。那么“内需”又何从谈起？;1;1;2;55119;3.6285128540067854e-05
988;刚放的4.1亏大了[衰];1;0;1;55119;1.8142564270033927e-05
1000;这是完全为拉高房价制定的政策，与市场经济原则完全背道而驰。把党16大后确定的市场在资源配置中起决定性作用的原则给彻底践踏了，是改革的倒退。;1;0;1;55119;1.8142564270033927e-05
1004;早安[太开心]http://t.cn/A69vVXDV;1;0;1;55119;1.8142564270033927e-05
1007;看来对东湖湾情有独钟啊;1;0;1;55119;1.8142564270033927e-05
1009;有21年成交量高？;1;0;1;55119;1.8142564270033927e-05
1012;利率是降了，房价没降，或者说，工资没变多;6;15;21;55119;0.00038099384967071247
1019;改善是现在就出手还是再等等？;4;6;10;55119;0.00018142564270033927
1024;生的起三胎的人不需要支持，人家自有办法。能给三个孩子准备房产的。资产基本千万打底;9;7;16;55119;0.00029028102832054283
1034;我觉得首先应该抓一抓楼盘的质量，不要为了保银行而忽悠大家买房。;1;19;20;55119;0.00036285128540067854
1039;这期何不食肉糜了， 未来绝大多数人的工资会不增长甚至下降。因为要内卷。 所以除非全民发钱。否则薪水涨不过利息。;1;8;9;55119;0.00016328307843030534
1041;22年终于买了房子，用了公积金贷款，每个月还的很少，我觉得挺幸福，至少有自己的地方了;2;6;8;55119;0.00014514051416027142
1045;银行存款利率上浮，听说是一分五了，相当于以前高利贷利率了，怎么网络没人吭声？害怕老百姓存款吗？;1;1;2;55119;3.6285128540067854e-05
1076;就是不让你全款买房，其实有些人还是有能力全款买，谁都知道银行坐收利息，我听说广东那边可以全款买房。;1;0;1;55119;1.8142564270033927e-05
1081;买房就是要趁早，少犹豫，只要有了条件就坚决买;1;0;1;55119;1.8142564270033927e-05
1096;好好说话，别抑扬顿挫的，听着真别扭;1;0;1;55119;1.8142564270033927e-05
1115;有什么事是离婚解决不了的嘛[笑cry];1;0;1;55119;1.8142564270033927e-05
1117;拿出存款的三分之一来买房子[允悲];2;0;2;55119;3.6285128540067854e-05
1135;最后发现，还是靠有能来买三套房的消化库存，走着瞧吧;1;2;3;55119;5.442769281010178e-05
1146;他们自己何止三套房…;1;9;10;55119;0.00018142564270033927
1165;三孩需要多大的房子;2;0;2;55119;3.6285128540067854e-05
1170;现在放的效果还不如封时放;1;1;2;55119;3.6285128540067854e-05
1174;既然叫做商品房就应该一切交给市场[允悲];1;1;2;55119;3.6285128540067854e-05
1188;先把经济搞垮，在慢慢恢复，让大家知道领导尽力了。[doge][doge][doge];2;0;2;55119;3.6285128540067854e-05
1191;[doge]买个50平的;1;0;1;55119;1.8142564270033927e-05
1214;买不起[允悲];1;1;2;55119;3.6285128540067854e-05
1216;买了亚运村，不在限购区内，不知道会不会交房就跌破开盘价，毕竟均价4万7[允悲];2;1;3;55119;5.442769281010178e-05
1219;博主🐮啊🐮;1;1;2;55119;3.6285128540067854e-05
1221;必须买爆[加油];1;1;2;55119;3.6285128540067854e-05
1223;搞起来;1;1;2;55119;3.6285128540067854e-05
1229;终于有资格啊[二哈];4;1;5;55119;9.071282135016963e-05
1238;只要交过社保就可以买吗？16年前的算不？交了28个月;1;1;2;55119;3.6285128540067854e-05
1246;外地人买杭州非限购区域是不是不用看社保了？;1;2;3;55119;5.442769281010178e-05
1248;#非杭州户籍凭社保个税缴纳记录限购1套房#房子就是拿来住的嘛;1;0;1;55119;1.8142564270033927e-05
1259;杭州楼市和杭州公务员的年终奖就靠各位小主了[doge];5;7;12;55119;0.00021771077124040712
1288;有社保记录，没时长规定，有一期也可以，相当可以了。拍卖的无限[good];1;3;4;55119;7.257025708013571e-05
1290;这个月交社保，下雨买就可以了. 相当于放开了;2;0;2;55119;3.6285128540067854e-05
1297;以前是限购几套呢?;2;2;4;55119;7.257025708013571e-05
1303;30岁以下还不算家庭[允悲];7;5;12;55119;0.00021771077124040712
1313;不限购更没人买，大多数人买涨不买跌;1;1;2;55119;3.6285128540067854e-05
1316;单身可以买两套，其他似乎没花头[doge];2;1;3;55119;5.442769281010178e-05
1321;世纪城太惨了;2;0;2;55119;3.6285128540067854e-05
1330;趋势不可扭转，参照日本。;1;1;2;55119;3.6285128540067854e-05
1353;假如已经有一套在滨江，一套在余杭。现在的政策调整了在上城还可以买一套么？;2;0;2;55119;3.6285128540067854e-05
1361;没有社保的人能在余杭买房吗[doge][doge][doge][doge][doge];7;5;12;55119;0.00021771077124040712
1393;请问怎么跳过一孩二孩直接生三孩享受政策？;1;7;8;55119;0.00014514051416027142
1404;@皮皮乐不是双皮乐 [哆啦A梦吃惊];1;0;1;55119;1.8142564270033927e-05
1414;魔都傲气得狠[坏笑][熊猫];10;9;19;55119;0.0003447087211306446
1425;你不买我不买明年不限购;1;7;8;55119;0.00014514051416027142
1436;[偷笑]金山有点一言难尽啊，离上海市区100公里，有些地方还是化工区，枫泾古镇那边还蛮舒服，出黄酒地方;3;0;3;55119;5.442769281010178e-05
1440;金山不行，太偏了，祖国第三大岛屿都通地铁到市区了[二哈];1;0;1;55119;1.8142564270033927e-05
1450;得了吧，非黄埔陆家嘴不买[左哼哼][右哼哼];1;2;3;55119;5.442769281010178e-05
1457;[赞];1;0;1;55119;1.8142564270033927e-05
1465;054B是烟民们造的，房地产跟农民工和建材家具家电关系更大些。;2;1;3;55119;5.442769281010178e-05
1468;所提到公众号万字文有链接吗？[doge];1;0;1;55119;1.8142564270033927e-05
1470;吴总这解读能力太强了[允悲]，想学。想问问吴总能解读一下金融监管那方面吗？;3;4;7;55119;0.0001269979498902375
1474;看看现在经济差的，还不能说明问题吗？房价稳中有升，经济一片繁荣。房价下跌，所有人都不好过;2;0;2;55119;3.6285128540067854e-05
1478;有水有电有网有气（好像没有）有空调，芜湖人想去住，是七百块钱一个月，而且是整年租。[嘻嘻];1;0;1;55119;1.8142564270033927e-05
1497;哪里文件？;2;0;2;55119;3.6285128540067854e-05
1501;只要一个现房销售的规定，大部分问题要求都可以搞定;1;1;2;55119;3.6285128540067854e-05
1505;未来商品房市场的规模会逐渐缩减，缩减出来的规模会被保障性住房所代替；未来商品房市场的竞争会愈发激烈，核心板块的好房子会越来越贵（商品属性），刚需会被逐渐挤压到非核心板块的二手房市场或者由保障性住房兜底其住房需求。;1;0;1;55119;1.8142564270033927e-05
1509;重要会议干贷就在这里了！楼市是重中之重，涉及篇幅最大。剩下的主要是加强金融监管和防范化解风险！;2;9;11;55119;0.0001995682069703732
1512;大家猜猜他们会从哪里入手，最没有话语权的那部分入手[允悲];1;4;5;55119;9.071282135016963e-05
1514;易秃子还有脸做报告？[笑cry][笑cry];1;6;7;55119;0.0001269979498902375
1525;眼花了;1;1;2;55119;3.6285128540067854e-05
1537;六安旅游资源非常丰富。绝对是有潜力做下一个爆款的。;1;2;3;55119;5.442769281010178e-05
1545;还不是没得选[泪];1;0;1;55119;1.8142564270033927e-05
1608;好吃不过饺子[干杯];2;0;2;55119;3.6285128540067854e-05
1616;房子啊......;2;0;2;55119;3.6285128540067854e-05
1624;没有股市什么事[二哈];1;1;2;55119;3.6285128540067854e-05
1651;这是要给年轻人免费分房的新指示吗？[吃瓜];1;1;2;55119;3.6285128540067854e-05
1655;现在出来的00后根本不愁房子住;1;0;1;55119;1.8142564270033927e-05
1673;开涨。！ 4限3限已破;2;2;4;55119;7.257025708013571e-05
1676;房价会不会涨啊;1;0;1;55119;1.8142564270033927e-05
1685;哈哈哈真是没人要了[笑cry];4;63;67;55119;0.001215551806092273
1691;限价限得是低价[笑cry];3;20;23;55119;0.0004172789782107803
1695;限房价都嫌高不好卖了，这不限房价，难不成是要降价？[doge];1;8;9;55119;0.00016328307843030534
1714;房价可以在稳住么[允悲];1;1;2;55119;3.6285128540067854e-05
1718;乖乖;1;1;2;55119;3.6285128540067854e-05
1720;厉害;1;0;1;55119;1.8142564270033927e-05
1722;看来你对杭州不熟啊，富阳相当于合肥这边的六安，这么远没有意义了，这几个区。杭州主要还是拱墅区，西湖区，滨江区，包括武林门的西湖文化广场片区。;1;0;1;55119;1.8142564270033927e-05
1724;每出一个政策对空军都是一次心灵打击，焦虑[doge];1;1;2;55119;3.6285128540067854e-05
1730;大势已去;1;1;2;55119;3.6285128540067854e-05
1739;《房子是用来住的，不是用来炒的》;27;180;207;55119;0.003755510803897023
1767;这是要哄抬房价[允悲];15;74;89;55119;0.0016146882200330196
1783;房住不炒就是个笑话，贻笑千年万年;8;28;36;55119;0.0006531323137212214
1795;取消限价又如何，有人敢高价拍？;2;18;20;55119;0.00036285128540067854
1802;到底是啥意思？看不明白啊;5;0;5;55119;9.071282135016963e-05
1832;限价是为了保持不掉价，这下解除了，就是高的地方高。低的地方直接崩盘了;1;0;1;55119;1.8142564270033927e-05
1848;为啥这次没有萧山余杭除外了，奇葩了;10;4;14;55119;0.000253995899780475
1866;经济好不好，一目了然[doge];1;3;4;55119;7.257025708013571e-05
1869;房子一旦失去金融属性，就没得市场了;5;19;24;55119;0.00043542154248081425
1875;崩盘就崩了呗 做什么干预 为什么要去维护炒房客的利益 让更多人买得起房子不好吗;1;10;11;55119;0.0001995682069703732
1877;除了房子那个行业有那么大的体量，而且能带动全民消费的啊，几乎没有;6;0;6;55119;0.00010885538562020356
1960;厦门就那么点地方，建的乱七八糟的，我已经不待了。。没意思。（我这种话要被厦门土著捶死[允悲]）真的是要发展经济。;3;2;5;55119;9.071282135016963e-05
1964;帽哥我不想道德绑架你 但是是因为你我才去关注他们的 他们今天被打了 我心里难受的很，帽哥你以前都会发声的 这种和唐山打人有区别吗，不知道你看到了啥感想！;2;6;8;55119;0.00014514051416027142
1987;房子一旦失去金融属性，就没得市场了;5;19;24;55119;0.00043542154248081425
1993;崩盘就崩了呗 做什么干预 为什么要去维护炒房客的利益 让更多人买得起房子不好吗;1;10;11;55119;0.0001995682069703732
1995;除了房子那个行业有那么大的体量，而且能带动全民消费的啊，几乎没有;6;0;6;55119;0.00010885538562020356
2074;厦门就那么点地方，建的乱七八糟的，我已经不待了。。没意思。（我这种话要被厦门土著捶死[允悲]）真的是要发展经济。;3;2;5;55119;9.071282135016963e-05
2083;放开呗，捂着还以为是香饽饽呢，放开了谁嫌钱多碍事话就去买房咯，顺便还可以带动一下装修家电家居的消费[偷笑]多好;1;4;5;55119;9.071282135016963e-05
2102;[赞];2;0;2;55119;3.6285128540067854e-05
2123;放开呗，捂着还以为是香饽饽呢，放开了谁嫌钱多碍事话就去买房咯，顺便还可以带动一下装修家电家居的消费[偷笑]多好;1;4;5;55119;9.071282135016963e-05
2156;外地人能买不？我就想知道这个。;19;54;73;55119;0.0013244071917124767
2176;多子女 二套房 找接盘太着急了韭菜不够用了[污];3;210;213;55119;0.0038643661895172263
2180;我又买不起[老师好] 和我有啥关系[喵喵];16;139;155;55119;0.0028120974618552584
2204;鼓励买房的时候就说明不是很合适买了[doge];1;40;41;55119;0.000743845135071391
2207;远离房赌毒[doge];1;34;35;55119;0.0006349897494511874
2209;科普一下：厦门房价稳居全国第4;5;28;33;55119;0.0005987046209111195
2215;你以为大家不买房是因为限购吗;2;17;19;55119;0.0003447087211306446
2218;厦门的房太贵了[挖鼻][挖鼻][挖鼻]比广州杭州都高不少;4;17;21;55119;0.00038099384967071247
2224;现在房子买到手就降价，和汽车一样[摊手]不适合投资了！不过刚需还是要买的！;1;13;14;55119;0.000253995899780475
2228;买得起的早买了，买不起的这条例有什么用;4;4;8;55119;0.00014514051416027142
2233;前两年打压太狠了，放开了，也救不回来了;4;4;8;55119;0.00014514051416027142
2238;厦门的未来就是曾经的深圳，希望大家来厦门发展，来厦门买房，投资厦门房产绝对是人生的一笔财富！;2;2;4;55119;7.257025708013571e-05
2245;厦门有什么产业;8;4;12;55119;0.00021771077124040712
2260;厦门工业农业科技业旅游业贸易业制造业互联网行业军工业渔业艺术业，各行各业都不发达，房价却高得离谱，这一直是个未解之谜[笑cry];2;4;6;55119;0.00010885538562020356
2264;前两年买房的人估计哭死在厕所了;7;3;10;55119;0.00018142564270033927
2285;@快乐生活且沙壁退散 庄总加油，买十套看看实力[干饭人];1;0;1;55119;1.8142564270033927e-05
2294;外地人能买不？我就想知道这个。;19;54;73;55119;0.0013244071917124767
2314;多子女 二套房 找接盘太着急了韭菜不够用了[污];3;210;213;55119;0.0038643661895172263
2318;我又买不起[老师好] 和我有啥关系[喵喵];16;139;155;55119;0.0028120974618552584
2342;鼓励买房的时候就说明不是很合适买了[doge];1;40;41;55119;0.000743845135071391
2345;远离房赌毒[doge];1;34;35;55119;0.0006349897494511874
2347;科普一下：厦门房价稳居全国第4;5;28;33;55119;0.0005987046209111195
2353;你以为大家不买房是因为限购吗;2;17;19;55119;0.0003447087211306446
2356;厦门的房太贵了[挖鼻][挖鼻][挖鼻]比广州杭州都高不少;4;17;21;55119;0.00038099384967071247
2362;现在房子买到手就降价，和汽车一样[摊手]不适合投资了！不过刚需还是要买的！;1;13;14;55119;0.000253995899780475
2366;买得起的早买了，买不起的这条例有什么用;4;4;8;55119;0.00014514051416027142
2371;前两年打压太狠了，放开了，也救不回来了;4;4;8;55119;0.00014514051416027142
2376;厦门的未来就是曾经的深圳，希望大家来厦门发展，来厦门买房，投资厦门房产绝对是人生的一笔财富！;2;2;4;55119;7.257025708013571e-05
2383;厦门有什么产业;8;4;12;55119;0.00021771077124040712
2398;厦门工业农业科技业旅游业贸易业制造业互联网行业军工业渔业艺术业，各行各业都不发达，房价却高得离谱，这一直是个未解之谜[笑cry];2;4;6;55119;0.00010885538562020356
2402;前两年买房的人估计哭死在厕所了;7;3;10;55119;0.00018142564270033927
2423;@快乐生活且沙壁退散 庄总加油，买十套看看实力[干饭人];1;0;1;55119;1.8142564270033927e-05
2477;我爸心中的圣地[爱你];2;0;2;55119;3.6285128540067854e-05
2482;很喜欢厦门;1;1;2;55119;3.6285128540067854e-05
2484;我要把房子卖了买厦门的;3;0;3;55119;5.442769281010178e-05
2493;不明白当初是如何盛行全国限购的;1;0;1;55119;1.8142564270033927e-05
2502;拆迁能不能快点，好几个地方等着呢;1;0;1;55119;1.8142564270033927e-05
2513;外地人买算首套，还是在外地的套数也算？;2;0;2;55119;3.6285128540067854e-05
2529;有一说一，厦门就是个花瓶城市，经济差工资低，就是物价高颜值高房价高，性价比极低的城市;1;1;2;55119;3.6285128540067854e-05
2614;买房的钱从哪里来？;2;0;2;55119;3.6285128540067854e-05
2621;期房付的钱怎么监管？这次房地产爆雷，一些城市提前把一部分资金“扣留”，才保证能按时交楼，这一块马老师可有好的建议？期待做一期视频讲讲[作揖];2;12;14;55119;0.000253995899780475
2624;猪肉能往死里跌，养猪的农民亏的裤衩都没有了，房地产一降就是风险？搞了半天钢筋混凝土是最脆弱的。中国的房地产已经掏空了几代人的口袋子，80、90后巨额负债……真奇了怪了这年头;8;8;16;55119;0.00029028102832054283
2633;卡住脖子不停输血也保不了多久;2;17;19;55119;0.0003447087211306446
2636;预售资金监管要根据项目具体情况使用，不要超额监管，一棒子都打死。存续金融机构还本付息都没解决，哪有金融机构敢新增支持;1;3;4;55119;7.257025708013571e-05
2667;期房付的钱怎么监管？这次房地产爆雷，一些城市提前把一部分资金“扣留”，才保证能按时交楼，这一块马老师可有好的建议？期待做一期视频讲讲[作揖];2;12;14;55119;0.000253995899780475
2670;猪肉能往死里跌，养猪的农民亏的裤衩都没有了，房地产一降就是风险？搞了半天钢筋混凝土是最脆弱的。中国的房地产已经掏空了几代人的口袋子，80、90后巨额负债……真奇了怪了这年头;8;8;16;55119;0.00029028102832054283
2679;卡住脖子不停输血也保不了多久;2;17;19;55119;0.0003447087211306446
2682;预售资金监管要根据项目具体情况使用，不要超额监管，一棒子都打死。存续金融机构还本付息都没解决，哪有金融机构敢新增支持;1;3;4;55119;7.257025708013571e-05
2710;很多比较良好的房地产企业都已经死透了才出这政策。。。;1;3;4;55119;7.257025708013571e-05
2712;呵呵呵;1;0;1;55119;1.8142564270033927e-05
2732;看来睡醒了，要救房地产了。;1;1;2;55119;3.6285128540067854e-05
2758;感谢分享，晚安[给你小心心];1;0;1;55119;1.8142564270033927e-05
2760;[good][good];1;0;1;55119;1.8142564270033927e-05
2762;[666][666];1;0;1;55119;1.8142564270033927e-05
2764;感谢分享;1;0;1;55119;1.8142564270033927e-05
2766;最近月亮不营业，晚安就由我来说🌙;1;0;1;55119;1.8142564270033927e-05
2768;[赞][赞];1;0;1;55119;1.8142564270033927e-05
2770;感谢分享[鲜花][鲜花][鲜花];1;0;1;55119;1.8142564270033927e-05
2772;好分享[给力];1;0;1;55119;1.8142564270033927e-05
2774;一线城市特别是帝都霸都，刚性需求还是很大的[打call][打call];1;0;1;55119;1.8142564270033927e-05
2776;谢谢分享[鲜花]晚上好呀[送花花];1;0;1;55119;1.8142564270033927e-05
2778;[爱你][爱你][爱你];1;0;1;55119;1.8142564270033927e-05
2801;[赞][赞]感谢分享;1;0;1;55119;1.8142564270033927e-05
2803;政策松绑，这个时候完全放开好，不要再限制了;1;0;1;55119;1.8142564270033927e-05
2805;中午好啊，干饭快乐，嘻嘻嘻;1;0;1;55119;1.8142564270033927e-05
2807;謝謝分享;1;0;1;55119;1.8142564270033927e-05
2811;感谢分享，晚安[给你小心心];1;0;1;55119;1.8142564270033927e-05
2813;[good][good];1;0;1;55119;1.8142564270033927e-05
2815;[666][666];1;0;1;55119;1.8142564270033927e-05
2817;感谢分享;1;0;1;55119;1.8142564270033927e-05
2819;最近月亮不营业，晚安就由我来说🌙;1;0;1;55119;1.8142564270033927e-05
2821;[赞][赞];1;0;1;55119;1.8142564270033927e-05
2823;感谢分享[鲜花][鲜花][鲜花];1;0;1;55119;1.8142564270033927e-05
2825;好分享[给力];1;0;1;55119;1.8142564270033927e-05
2827;一线城市特别是帝都霸都，刚性需求还是很大的[打call][打call];1;0;1;55119;1.8142564270033927e-05
2829;谢谢分享[鲜花]晚上好呀[送花花];1;0;1;55119;1.8142564270033927e-05
2831;[爱你][爱你][爱你];1;0;1;55119;1.8142564270033927e-05
2854;[赞][赞]感谢分享;1;0;1;55119;1.8142564270033927e-05
2856;政策松绑，这个时候完全放开好，不要再限制了;1;0;1;55119;1.8142564270033927e-05
2858;中午好啊，干饭快乐，嘻嘻嘻;1;0;1;55119;1.8142564270033927e-05
2860;謝謝分享;1;0;1;55119;1.8142564270033927e-05
2879;兰博基尼挥泪大酬宾，每车怒减二百元;2;4;6;55119;0.00010885538562020356
2882;暴涨一触即发;1;12;13;55119;0.00023585333551044105
2888;兰博基尼挥泪大酬宾，每车怒减二百元;2;4;6;55119;0.00010885538562020356
2891;暴涨一触即发;1;12;13;55119;0.00023585333551044105
2907;就这点政策水平，唉！P用没有;1;0;1;55119;1.8142564270033927e-05
2918;他们想了除降价外所有的方法，他真的我哭死｡°(°¯᷄◠¯᷅°)°｡;2;54;56;55119;0.0010159835991219
2921;买呀！你们怎么不买呀[嘻嘻];2;36;38;55119;0.0006894174422612892
2929;之前首套是百分之几？;1;1;2;55119;3.6285128540067854e-05
2960;贷款不还吗;1;5;6;55119;0.00010885538562020356
2970;今年的政策变化真快，真多;1;3;4;55119;7.257025708013571e-05
